iteration NAG_constant_time NAG_constant_objective NAG_constant_hpwl NAG_constant_euclidean_norm NAG_scaled-by-sqrt_time NAG_scaled-by-sqrt_objective NAG_scaled-by-sqrt_hpwl NAG_scaled-by-sqrt_euclidean_norm NAG_observed-lipschitz_time NAG_observed-lipschitz_objective NAG_observed-lipschitz_hpwl NAG_observed-lipschitz_euclidean_norm NAG_min-observed-lipschitz_time NAG_min-observed-lipschitz_objective NAG_min-observed-lipschitz_hpwl NAG_min-observed-lipschitz_euclidean_norm NAG_barzilai-borwein_time NAG_barzilai-borwein_objective NAG_barzilai-borwein_hpwl NAG_barzilai-borwein_euclidean_norm NAG_backtracking-line-search_time NAG_backtracking-line-search_objective NAG_backtracking-line-search_hpwl NAG_backtracking-line-search_euclidean_norm GD_constant_time GD_constant_objective GD_constant_hpwl GD_constant_euclidean_norm GD_scaled-by-sqrt_time GD_scaled-by-sqrt_objective GD_scaled-by-sqrt_hpwl GD_scaled-by-sqrt_euclidean_norm GD_observed-lipschitz_time GD_observed-lipschitz_objective GD_observed-lipschitz_hpwl GD_observed-lipschitz_euclidean_norm GD_min-observed-lipschitz_time GD_min-observed-lipschitz_objective GD_min-observed-lipschitz_hpwl GD_min-observed-lipschitz_euclidean_norm GD_barzilai-borwein_time GD_barzilai-borwein_objective GD_barzilai-borwein_hpwl GD_barzilai-borwein_euclidean_norm GD_backtracking-line-search_time GD_backtracking-line-search_objective GD_backtracking-line-search_hpwl GD_backtracking-line-search_euclidean_norm
10 155.1 4.81906 5.57442 1.1113113675000001 166.89999999999998 5.55616 6.24193 1.1452967299999999 164.29999999999998 4.56043 5.32188 0.09090454749999999 172.29999999999995 4.5615000000000006 5.3235399999999995 0.069518145 163.2 4.56635 5.32041 0.0560193075 240.79999999999998 4.57623 5.32424 0.056327209999999996 118.70000000000002 9.37424 9.93999 1.1181674925 122.0 5.97569 6.61262 1.167766165 118.39999999999998 4.58291 5.35309 0.312978195 123.19999999999999 4.5885 5.32915 0.0584542275 122.70000000000002 4.56825 5.3241 0.198005275 205.70000000000005 4.596970000000001 5.33058 0.0592452275
11 168.0 10.34103 10.935 0.5684267925 180.49999999999997 5.60582 6.294549999999999 0.8807208575000001 177.60000000000002 4.55564 5.32207 0.091122085 186.29999999999998 4.55679 5.322 0.067783805 176.7 4.5607999999999995 5.31844 0.0544575 261.29999999999995 4.57246 5.32296 0.055888887500000005 128.0 10.51688 11.08031 1.1187480324999999 131.39999999999998 5.77316 6.42552 1.172460525 127.39999999999998 4.70338 5.54391 0.77316744 132.69999999999996 4.58699 5.32859 0.05822669999999999 132.30000000000004 4.46391 5.29598 0.0774814075 222.10000000000002 4.59587 5.330080000000001 0.05904537500000001
12 180.60000000000002 4.79108 5.558579999999999 1.112085685 194.2 5.05946 5.78791 0.906688395 191.2 4.55078 5.31987 0.08789821 200.39999999999998 4.55194 5.32039 0.0668569175 190.09999999999997 4.5554 5.31646 0.053882519999999996 281.9 4.5685 5.32161 0.05543638 137.29999999999998 9.37576 9.94487 1.11564088 140.79999999999998 5.8240300000000005 6.47075 1.18106158 136.7 4.52816 5.3285 0.29512263250000004 142.29999999999998 4.5855 5.32803 0.058025755 141.8 4.9099 5.7557 0.6402371825000001 238.8 4.59479 5.3296 0.0588746475
13 193.5 10.23345 10.84076 0.41509459249999997 207.7 5.1601 5.8850999999999996 0.9468228450000001 204.70000000000002 4.545450000000001 5.31892 0.087957595 214.39999999999998 4.54698 5.31881 0.066366445 203.49999999999997 4.54994 5.31483 0.053440144999999994 302.4 4.56437 5.32021 0.054969685000000004 146.7 10.47835 11.04513 1.118486515 150.29999999999998 5.651339999999999 6.31296 1.1784078325 145.89999999999998 5.154529999999999 5.90835 0.75353296 151.69999999999996 4.58402 5.32751 0.0578402325 151.30000000000004 4.54254 5.41212 0.5849324199999999 255.20000000000005 4.59371 5.32914 0.058720265
14 206.3 4.69969 5.48372 1.1161968325 221.39999999999998 5.10881 5.83856 0.96826127 217.99999999999997 4.53996 5.31619 0.0986943725 228.49999999999994 4.54185 5.31725 0.06638503999999999 216.99999999999997 4.54421 5.313219999999999 0.05358933 322.79999999999995 4.56004 5.3188200000000005 0.054493194999999994 155.7 9.40651 9.97637 1.11688665 159.7 5.68141 6.33982 1.1878788275 154.89999999999998 4.62171 5.408010000000001 0.5656680675 160.99999999999997 4.58254 5.326980000000001 0.057664110000000005 160.8 4.41881 5.29677 0.20931270500000002 271.70000000000005 4.59263 5.32868 0.05857551
15 219.10000000000002 10.27393 10.88407 0.5611617575 235.09999999999997 5.11352 5.8520900000000005 0.98803649 231.39999999999998 4.53462 5.3165 0.10156222250000001 242.79999999999995 4.53659 5.31579 0.06684091249999999 230.39999999999998 4.53816 5.311590000000001 0.052450095 343.30000000000007 4.55555 5.3174600000000005 0.0540091225 164.79999999999998 10.45116 11.01865 1.116743985 169.0 5.55918 6.22743 1.176893065 163.89999999999998 4.5938 5.38408 0.50540863 170.49999999999997 4.58108 5.32648 0.05749413 170.40000000000003 4.40803 5.284929999999999 0.0797540325 288.30000000000007 4.59157 5.32824 0.058436805
16 232.0 4.66348 5.45526 1.1123377574999997 248.59999999999997 5.0553799999999995 5.79809 0.9785543200000001 244.89999999999998 4.52911 5.31376 0.09976444999999999 256.79999999999995 4.53119 5.31429 0.06784962750000001 243.8 4.53217 5.30982 0.051524315 363.70000000000005 4.55089 5.31605 0.053517572500000006 173.9 9.404679999999999 9.97653 1.11543097 178.39999999999998 5.54175 6.21148 1.176158195 172.89999999999998 4.50474 5.30533 0.0653334525 179.89999999999998 4.57962 5.3260000000000005 0.0573285 179.9 4.40545 5.28156 0.0539033575 304.8 4.59049 5.3278300000000005 0.058302225
17 244.8 10.22585 10.84762 0.598720715 262.3 5.1192899999999995 5.8644 0.8613821150000001 258.3 4.5234499999999995 5.31341 0.0977631575 270.9 4.52567 5.31284 0.0694175475 257.2 4.52622 5.3081499999999995 0.050983735 384.4 4.54608 5.314629999999999 0.053018157499999996 183.0 10.43254 11.00341 1.1159081100000001 188.0 5.4619599999999995 6.13823 1.157440225 181.99999999999997 4.50325 5.3154 0.2031757025 189.39999999999998 4.57817 5.325559999999999 0.0571662125 189.20000000000002 4.40486 5.2808399999999995 0.0470978225 321.70000000000005 4.58944 5.32745 0.0581707025
18 257.5 4.74552 5.54759 1.1130963699999998 275.99999999999994 4.88254 5.650790000000001 1.0163973375 271.7 4.51752 5.310829999999999 0.1002371875 285.2 4.520020000000001 5.311389999999999 0.07171625499999999 270.59999999999997 4.5202100000000005 5.30655 0.05058477 404.79999999999995 4.54111 5.3131900000000005 0.052510865000000004 192.20000000000002 9.40675 9.98001 1.1183759275 197.49999999999997 5.40907 6.08983 1.1430608675 191.29999999999995 4.57316 5.40164 0.5131006925 198.89999999999998 4.57673 5.3251100000000005 0.05700669500000001 198.60000000000002 4.403969999999999 5.28016 0.044438337499999994 338.20000000000005 4.58838 5.3270599999999995 0.05804163
19 270.4 10.06577 10.700949999999999 0.6505985625 289.59999999999997 5.07238 5.8284199999999995 0.7601828125000001 285.2 4.51149 5.31025 0.10828132500000001 299.2 4.51425 5.3099799999999995 0.0747745325 284.2 4.514 5.30497 0.050400404999999995 425.4 4.536 5.31174 0.0519961525 201.3 10.45436 11.0265 1.115575335 207.29999999999998 5.35618 6.0412 1.1249650475000001 200.19999999999996 4.49617 5.30547 0.12681701 208.09999999999997 4.5753 5.324669999999999 0.0568496025 208.10000000000002 4.3977900000000005 5.27734 0.0414379275 354.8 4.58733 5.32668 0.057914655
