iteration NAG_barzilai-borwein_time_X NAG_barzilai-borwein_time_Y NAG_barzilai-borwein_objective_X NAG_barzilai-borwein_objective_Y NAG_barzilai-borwein_hpwl_X NAG_barzilai-borwein_hpwl_Y NAG_barzilai-borwein_euclidean_norm_X NAG_barzilai-borwein_euclidean_norm_Y
0 16.600000000000023 11.800000000000011 2.26059 1.55928 2.70906 1.77907 0.032925829999999996 0.0683042575
1 23.200000000000017 18.5 2.25823 1.55129 2.70465 1.77633 0.0368161 0.046949002499999996
2 30.100000000000023 25.0 2.25731 1.54387 2.701 1.77303 0.02959794 0.04406325
3 37.0 31.600000000000023 2.25678 1.53888 2.70126 1.77158 0.02020011 0.0445573975
4 43.5 38.20000000000002 2.25635 1.53449 2.69885 1.77032 0.018780717500000002 0.0415872325
5 50.5 44.900000000000006 2.256 1.53059 2.69791 1.76802 0.0180879425 0.0410369825
6 57.5 51.30000000000001 2.25566 1.52704 2.6969 1.76647 0.0176543425 0.0407013725
7 64.80000000000001 58.10000000000002 2.2553 1.5235 2.69612 1.7652 0.01745754 0.04032691
8 71.5 64.70000000000002 2.2548 1.51861 2.69519 1.76348 0.01767747 0.042836935
9 77.70000000000002 71.30000000000001 2.25421 1.51045 2.69447 1.76152 0.0172184325 0.0405787925
10 84.60000000000002 77.70000000000002 2.25364 1.50299 2.69338 1.75842 0.017086427499999998 0.0383805875
11 91.0 84.0 2.2531 1.49633 2.69261 1.75536 0.0169707075 0.03782451
12 97.20000000000002 90.4 2.25254 1.49024 2.69184 1.75298 0.016904699999999998 0.037329302499999995
13 103.60000000000002 96.5 2.25181 1.48412 2.69103 1.75077 0.0173966375 0.038690425
14 110.30000000000001 102.9 2.25099 1.47616 2.69009 1.74841 0.016571370000000002 0.03785238
15 117.69999999999999 108.90000000000003 2.25019 1.46854 2.68919 1.74548 0.016370525 0.035454862499999996
16 124.69999999999999 114.80000000000001 2.24944 1.46146 2.68831 1.74202 0.016231275 0.034827675
17 131.5 121.0 2.24869 1.45484 2.68758 1.73938 0.016204999999999997 0.034331775
18 138.7 127.40000000000003 2.24782 1.44832 2.68668 1.73679 0.0165471425 0.035192419999999995
19 146.10000000000002 133.90000000000003 2.2469 1.44113 2.68604 1.73446 0.01580589 0.034253745
20 152.90000000000003 140.40000000000003 2.24601 1.43413 2.68501 1.73142 0.015586845 0.03264035
21 159.5 146.7 2.24515 1.42748 2.6843 1.72831 0.015438090000000002 0.0320393
22 166.10000000000002 153.10000000000002 2.24429 1.42114 2.68353 1.72553 0.0154656175 0.031639975
23 172.90000000000003 159.5 2.24336 1.41484 2.68282 1.72296 0.01553164 0.0321362375
24 179.40000000000003 166.0 2.24241 1.40835 2.68197 1.72042 0.0149995375 0.031131307499999997
25 185.8 172.8 2.24148 1.40201 2.68124 1.71754 0.0147934325 0.03004975
26 192.5 179.10000000000002 2.24057 1.39591 2.68046 1.71453 0.014655365 0.0295112175
27 199.0 186.0 2.23966 1.39001 2.67982 1.71185 0.014710555 0.029238515
28 205.40000000000003 192.7 2.23871 1.38413 2.67905 1.7092 0.014583615 0.029379919999999997
29 211.5 199.0 2.23775 1.37824 2.67846 1.70668 0.014213265 0.028467727499999998
30 217.60000000000002 205.40000000000003 2.23681 1.37248 2.67763 1.70377 0.014030744999999999 0.027670185
31 223.5 211.5 2.23588 1.3669 2.67704 1.70099 0.013919795 0.027202815
32 229.40000000000003 217.60000000000002 2.23495 1.36145 2.67632 1.69828 0.013949782499999999 0.0270174925
33 235.60000000000002 223.5 2.23399 1.35604 2.67585 1.69574 0.013744555 0.0268716425
34 241.5 229.5 2.23304 1.35068 2.67513 1.69308 0.013475785 0.0260907525
35 247.60000000000002 235.60000000000002 2.2321 1.34544 2.67464 1.69036 0.0133196175 0.0254553275
36 253.5 241.5 2.23116 1.34035 2.67402 1.6876 0.01323908 0.025059237499999998
37 259.3 247.60000000000002 2.23022 1.33536 2.67354 1.68503 0.013213785 0.024889555
38 265.40000000000003 253.5 2.22927 1.33043 2.67292 1.68244 0.013002824999999999 0.0245616125
39 271.3 259.3 2.22832 1.32558 2.67248 1.67988 0.012797995 0.02389666
40 277.1 265.40000000000003 2.22738 1.32084 2.67191 1.67717 0.0126688975 0.023367864999999998
41 283.0 271.3 2.22645 1.31623 2.6715 1.67459 0.0126064575 0.0230320125
42 289.1 277.1 2.22551 1.3117 2.67098 1.67202 0.012531477499999999 0.0228237725
43 295.0 283.0 2.22457 1.30725 2.67061 1.66955 0.0123437325 0.0224078725
44 300.8 289.1 2.22363 1.3029 2.67009 1.66697 0.01218272 0.0218375125
45 306.8 295.0 2.22269 1.29865 2.66971 1.66445 0.0120781225 0.02138921
46 312.8 300.8 2.22176 1.29451 2.66922 1.66191 0.012017664999999999 0.021092945000000002
47 318.6 306.8 2.22083 1.29046 2.66886 1.6595 0.0119149625 0.020830485
48 324.40000000000003 312.8 2.21989 1.28649 2.66836 1.65704 0.011756494999999999 0.020392242499999998
49 330.40000000000003 318.6 2.21896 1.28262 2.66801 1.65463 0.011627430000000001 0.0199021875
50 336.40000000000003 324.40000000000003 2.21803 1.27884 2.66754 1.65217 0.0115413225 0.0195198325
51 342.2 330.40000000000003 2.21711 1.27517 2.66719 1.64982 0.0114738275 0.019242915
52 348.0 336.40000000000003 2.21618 1.27158 2.66672 1.64746 0.0113634825 0.0189410925
53 354.1 342.2 2.21525 1.26808 2.66638 1.64519 0.0112315275 0.018521225000000002
54 360.0 348.0 2.21433 1.26467 2.66593 1.64285 0.011126414999999999 0.018103945
55 365.8 354.1 2.21341 1.26136 2.66562 1.64061 0.0110512425 0.01777655
56 371.7 360.0 2.2125 1.25813 2.6652 1.63837 0.010976385 0.017509075
57 377.7 365.8 2.21158 1.25499 2.66491 1.63622 0.0108701 0.017195665000000002
58 383.59999999999997 371.7 2.21066 1.25194 2.66451 1.63404 0.010760047500000001 0.016818327499999997
59 389.50000000000006 377.7 2.20975 1.24896 2.66422 1.63194 0.010672167500000001 0.01646886
60 395.40000000000003 383.59999999999997 2.20884 1.24608 2.66383 1.62982 0.010602185 0.016187885000000003
61 401.40000000000003 389.40000000000003 2.20793 1.24327 2.66356 1.62781 0.010523705 0.0159318375
62 407.3 395.40000000000003 2.20702 1.24054 2.66319 1.62579 0.010426625 0.0156341725
63 413.09999999999997 401.40000000000003 2.20612 1.23788 2.66294 1.62386 0.01033365 0.0153118275
64 419.09999999999997 407.3 2.20521 1.23531 2.6626 1.62191 0.01025764 0.015025090000000001
65 425.00000000000006 413.09999999999997 2.20431 1.2328 2.66236 1.62005 0.010189805 0.014784672499999998
66 430.90000000000003 419.09999999999997 2.20341 1.23037 2.66203 1.61821 0.010111985 0.014549127500000002
67 436.7 425.00000000000006 2.20251 1.228 2.66181 1.61645 0.01002515 0.0142863925
68 442.8 430.90000000000003 2.20162 1.2257 2.66151 1.61468 0.009945264999999998 0.014022625
69 448.7 436.7 2.20072 1.22347 2.66131 1.613 0.0098769575 0.01379163
70 454.50000000000006 442.8 2.19983 1.2213 2.66103 1.61133 0.0098107375 0.01358835
71 460.40000000000003 448.7 2.19894 1.21919 2.66086 1.60975 0.009736402500000001 0.0133820275
72 466.40000000000003 454.50000000000006 2.19805 1.21714 2.6606 1.60817 0.009659274999999998 0.013163095
73 472.3 460.40000000000003 2.19716 1.21514 2.66047 1.60668 0.009589064999999999 0.0129538725
74 478.09999999999997 466.40000000000003 2.19628 1.21319 2.66025 1.6052 0.00952597 0.012769935
75 484.00000000000006 472.3 2.1954 1.2113 2.66014 1.60381 0.009461830000000001 0.01260049
76 490.00000000000006 478.09999999999997 2.19452 1.20945 2.65995 1.60243 0.009392580000000001 0.0124272575
77 495.8 484.00000000000006 2.19364 1.20766 2.65987 1.60114 0.00932379 0.0122512475
78 501.7 490.00000000000006 2.19276 1.2059 2.6597 1.59986 0.009260820000000001 0.012087507499999999
79 507.7 495.8 2.19189 1.20419 2.65965 1.59867 0.0092015225 0.0119406225
80 513.5999999999999 501.7 2.19101 1.20252 2.65953 1.5975 0.009140347500000002 0.011800482499999999
81 519.4000000000001 507.7 2.19014 1.20089 2.6595 1.59642 0.00907657 0.011658132500000001
82 525.2 513.5999999999999 2.18927 1.19929 2.65941 1.59535 0.00901479 0.0115180225
83 531.2 519.4000000000001 2.18841 1.19773 2.65939 1.59436 0.00895721 0.0113883975
