iteration NAG_barzilai-borwein_time_X NAG_barzilai-borwein_time_Y NAG_barzilai-borwein_objective_X NAG_barzilai-borwein_objective_Y NAG_barzilai-borwein_hpwl_X NAG_barzilai-borwein_hpwl_Y NAG_barzilai-borwein_euclidean_norm_X NAG_barzilai-borwein_euclidean_norm_Y
55 151.5 145.60000000000002 3.37381 0.91208 3.81455 1.30639 0.0072299575 0.0061297825
56 154.10000000000002 148.2 3.37191 0.91066 3.81704 1.30925 0.007127847499999999 0.0060730825
57 156.60000000000002 150.89999999999998 3.37003 0.90925 3.81952 1.31213 0.007028155 0.0060297475
58 159.10000000000002 153.5 3.36818 0.90783 3.82202 1.31503 0.006940042499999999 0.0059892925
59 161.7 156.10000000000002 3.36634 0.90642 3.82453 1.31796 0.00685853 0.0059376025
60 164.2 158.7 3.36451 0.90501 3.82706 1.32089 0.0067725575 0.0058816525
61 166.8 161.3 3.36271 0.9036 3.8296 1.32384 0.006681882500000001 0.0058338
62 169.3 163.89999999999998 3.36092 0.9022 3.83216 1.32678 0.0065959799999999996 0.0057942675
63 171.89999999999998 166.60000000000002 3.35916 0.9008 3.83472 1.32976 0.0065185675 0.0057529775
64 174.39999999999998 169.2 3.35741 0.89941 3.83729 1.33274 0.0064440025 0.0057034225
65 177.10000000000002 171.8 3.35568 0.89802 3.83987 1.33573 0.00636597 0.0056531525000000004
66 179.60000000000002 174.39999999999998 3.35396 0.89663 3.84245 1.33872 0.0062870225 0.0056091275
67 182.10000000000002 177.10000000000002 3.35227 0.89525 3.84504 1.34173 0.00621325 0.0055689425
68 184.60000000000002 179.60000000000002 3.35059 0.89388 3.84763 1.34474 0.006145195 0.00552435
69 187.2 182.10000000000002 3.34892 0.89251 3.85021 1.34775 0.006078042499999999 0.0054736
70 189.7 184.7 3.34727 0.89114 3.8528 1.35077 0.00600905 0.0054234274999999995
71 192.3 187.2 3.34564 0.88979 3.85539 1.35379 0.005941242500000001 0.00537764
72 194.89999999999998 189.8 3.34403 0.88844 3.85798 1.35682 0.0058779950000000004 0.0053324075000000005
73 197.39999999999998 192.39999999999998 3.34243 0.8871 3.86057 1.35985 0.0058182775 0.00528196
74 199.89999999999998 195.0 3.34084 0.88577 3.86317 1.36288 0.0057587675 0.0052277899999999995
75 202.5 197.60000000000002 3.33927 0.88445 3.86576 1.36591 0.0056988025 0.00517586
76 205.10000000000002 200.2 3.33772 0.88314 3.86836 1.36895 0.005640885 0.005127665
77 207.7 202.8 3.33617 0.88184 3.87094 1.37198 0.0055864700000000005 0.005079075
78 210.3 205.5 3.33465 0.88056 3.87354 1.37503 0.0055341175 0.0050271725
79 212.8 208.10000000000002 3.33313 0.87929 3.87614 1.37806 0.005481865 0.0049750625
80 215.40000000000003 210.7 3.33163 0.87803 3.87874 1.38111 0.005430045 0.0049266399999999995
