iteration LSE_center_100000_gamma_time LSE_center_100000_gamma_objective LSE_center_100000_gamma_hpwl LSE_center_100000_gamma_euclidean_norm WA_center_100000_gamma_time WA_center_100000_gamma_objective WA_center_100000_gamma_hpwl WA_center_100000_gamma_euclidean_norm LSE_center_1000_gamma_time LSE_center_1000_gamma_objective LSE_center_1000_gamma_hpwl LSE_center_1000_gamma_euclidean_norm WA_center_1000_gamma_time WA_center_1000_gamma_objective WA_center_1000_gamma_hpwl WA_center_1000_gamma_euclidean_norm
34 930.9 180.21593 5.30637 0.036717795000000004 997 4.4321 5.289 0.0434811825 909.8 6.76391 5.26097 0.0742051125 1077.7 5.09542 5.25346 0.1123111425
35 949 180.21095 5.3052 0.0363938075 1016.8 4.42566 5.28739 0.0431397875 927.4 6.76297 5.26015 0.07334006750000001 1099.3 5.09435 5.25255 0.11107618
36 967.4 180.20594 5.30401 0.0360702875 1036.5 4.41922 5.28575 0.0430069825 944.7 6.76206 5.25937 0.07247107750000001 1122.6 5.09328 5.25164 0.1072719875
37 985.5 180.20088 5.3028 0.0357475575 1056.3 4.4128 5.28415 0.04334213 962.6 6.76116 5.25861 0.071602525 1144 5.09227 5.25075 0.08533990749999999
38 1003.9 180.19579 5.30159 0.035425935000000006 1075.8 4.40638 5.28256 0.044726977499999994 980 6.76027 5.25785 0.07074684499999999 1165.9 5.09129 5.24986 0.0840189325
39 1021.9 180.19067 5.3004 0.035105755 1097.4 4.39999 5.28103 0.04185021 997.4 6.75939 5.25712 0.069919845 1187.4 5.09037 5.24904 0.08273998
40 1040.4 180.18551 5.29922 0.0347873325 1117.1 4.3938 5.27912 0.040446955 1015 6.75853 5.2564 0.06913503 1209.1 5.08949 5.24826 0.0816699125
41 1058.9 180.18033 5.29806 0.0344709975 1137.1 4.38783 5.27725 0.0400505 1032.4 6.75768 5.2557 0.06839995500000001 1230.2 5.08866 5.24751 0.080923125
42 1077 180.17513 5.29687 0.034157065 1156.9 4.38205 5.27566 0.039617005 1050.2 6.75683 5.25501 0.067715875 1251.2 5.08786 5.24679 0.0804488475
43 1095.3 180.16991 5.29568 0.033845845 1176.8 4.37646 5.27406 0.0392196175 1067.8 6.75599 5.25433 0.06708017499999999 1272.4 5.08709 5.24611 0.0801041675
44 1113.3 180.16468 5.29448 0.033537625 1196.9 4.37103 5.27251 0.038841072500000004 1085.2 6.75516 5.25366 0.066489155 1294 5.08634 5.24545 0.07978313249999999
45 1131.5 180.15943 5.29328 0.033232689999999995 1216.6 4.36572 5.27097 0.0384757275 1103.2 6.75433 5.253 0.06593759 1315.4 5.08561 5.24483 0.0794389775
46 1149.4 180.15417 5.29207 0.032931300000000004 1236.8 4.36056 5.26945 0.0381231575 1120.5 6.75351 5.25235 0.0654152275 1336.9 5.08491 5.24421 0.0790594375
47 1167.2 180.1489 5.29087 0.032633699999999995 1256.5 4.3555 5.26795 0.037782420000000004 1138.1 6.75268 5.2517 0.0649066275 1358.6 5.08421 5.24362 0.078641085
48 1184.9 180.14363 5.28968 0.032340114999999996 1276.8 4.35055 5.2665 0.03745277 1155.8 6.75187 5.25107 0.064396825 1379.2 5.08354 5.24305 0.07817922749999999
49 1202.5 180.13835 5.28847 0.0320507525 1296.7 4.34569 5.26505 0.037133519999999996 1173.3 6.75105 5.25045 0.063876695 1400 5.08286 5.24249 0.07766646
50 1220.7 180.13306 5.28727 0.0317657975 1316.7 4.34092 5.2636 0.0368240325 1191 6.75025 5.24983 0.06334395500000001 1420.6 5.0822 5.24194 0.0770928525
