iteration LSE_random_100000_gamma_time LSE_random_100000_gamma_objective LSE_random_100000_gamma_hpwl LSE_random_100000_gamma_euclidean_norm LSE_center_100000_gamma_time LSE_center_100000_gamma_objective LSE_center_100000_gamma_hpwl LSE_center_100000_gamma_euclidean_norm LSE_qp_100000_gamma_time LSE_qp_100000_gamma_objective LSE_qp_100000_gamma_hpwl LSE_qp_100000_gamma_euclidean_norm LSE_hpwl_100000_gamma_time LSE_hpwl_100000_gamma_objective LSE_hpwl_100000_gamma_hpwl LSE_hpwl_100000_gamma_euclidean_norm WA_random_100000_gamma_time WA_random_100000_gamma_objective WA_random_100000_gamma_hpwl WA_random_100000_gamma_euclidean_norm WA_center_100000_gamma_time WA_center_100000_gamma_objective WA_center_100000_gamma_hpwl WA_center_100000_gamma_euclidean_norm WA_qp_100000_gamma_time WA_qp_100000_gamma_objective WA_qp_100000_gamma_hpwl WA_qp_100000_gamma_euclidean_norm WA_hpwl_100000_gamma_time WA_hpwl_100000_gamma_objective WA_hpwl_100000_gamma_hpwl WA_hpwl_100000_gamma_euclidean_norm
11 538.6 1599.67189 1585.68863 1.257123515 522.2 180.30874 5.32828 0.04378025 564.0999999999999 178.51137 8.67301 0.019435974999999998 30586.300000000003 179.48154 4.0557099999999995 0.037252385000000006 508.6 1567.75119 1579.62184 1.307634285 542.4 4.564030000000001 5.32323 0.055524420000000005 596.0 3.7125500000000002 8.668330000000001 0.04167681 32244.699999999997 3.62683 4.04227 0.04466858
12 557.1 1577.21494 1562.67741 1.253113255 539.8 180.30594 5.32744 0.043483455 581.8 178.51083 8.671299999999999 0.01909479 30603.699999999997 179.47965 4.0579 0.037025705 527.0 1543.90368 1556.0403999999999 1.3028949275 562.0 4.55969 5.32205 0.0549936575 615.2 3.7114000000000003 8.666260000000001 0.0412523275 32269.4 3.62542 4.04387 0.044400835
13 575.0999999999999 1553.55703 1538.42858 1.247177975 556.8 180.30301 5.32667 0.04319599750000001 598.9000000000001 178.5103 8.6695 0.01875874 30621.0 179.47766000000001 4.0602 0.036798874999999995 545.0 1518.8536100000001 1531.27845 1.2963121425 581.8 4.555149999999999 5.3208400000000005 0.05448164 634.8 3.7102000000000004 8.66406 0.04078812999999999 32294.1 3.6239500000000002 4.04557 0.0441259175
14 593.3 1528.7371699999999 1512.9871600000001 1.2435619925 574.8 180.29993000000002 5.32591 0.04291235 615.7 178.50973 8.667629999999999 0.018432332500000002 30638.1 179.47557999999998 4.06262 0.03657111 563.2 1492.6431499999999 1505.3801 1.2924381724999998 601.5 4.55042 5.319559999999999 0.0539833125 653.9 3.70894 8.66176 0.04028594 32318.7 3.6224000000000003 4.04736 0.043843537499999995
15 610.5999999999999 1502.8344499999998 1486.4341100000001 1.2382654525 591.8 180.29671000000002 5.32513 0.042627229999999995 632.9000000000001 178.50916 8.66567 0.018119754999999998 30655.5 179.47343 4.0651399999999995 0.036340835 581.4 1465.37055 1478.44238 1.2858874025 621.2 4.545529999999999 5.318239999999999 0.053485842500000005 673.2 3.70765 8.65936 0.0397523575 32342.6 3.6207900000000004 4.04923 0.04355347500000001
16 627.9 1475.89406 1458.82015 1.23568885 609.8 180.29336999999998 5.32432 0.04233804 650.0 178.50858 8.66366 0.0178243575 30672.300000000003 179.47116999999997 4.067769999999999 0.0361067325 599.2 1437.07321 1450.50116 1.28322684 641.2 4.54047 5.3168500000000005 0.05297901 692.2 3.70631 8.656839999999999 0.03919864 32367.199999999997 3.6190999999999995 4.05117 0.043255827499999996
17 645.5 1448.00438 1430.23349 1.231356495 627.0 180.2899 5.32346 0.0420445625 667.4 178.50799 8.66156 0.01754829 30689.699999999997 179.46883 4.07048 0.0358681675 617.8 1407.85897 1421.66562 1.2776999574999999 660.8 4.53524 5.31542 0.052459235 711.1 3.7049399999999997 8.65423 0.038639225000000006 32391.6 3.6173599999999997 4.05319 0.04295093
18 662.7 1419.21384 1400.72685 1.229989665 644.6 180.28631000000001 5.32258 0.041747654999999995 684.2 178.50739 8.65942 0.017292292499999997 30706.9 179.46641 4.07329 0.035625079999999996 635.6 1377.7629900000002 1391.9742999999999 1.2754819400000001 680.7 4.52988 5.31395 0.0519285175 730.1 3.70353 8.65153 0.0380893125 32416.2 3.61556 4.05529 0.042639195
19 680.2 1389.61852 1370.3988100000001 1.22815484 661.6 180.28259 5.3217099999999995 0.0414481975 701.5999999999999 178.50677 8.6572 0.017055765 30724.0 179.46391 4.0762 0.035377700000000005 654.0 1346.8890700000002 1361.52824 1.2740955325 700.4 4.524369999999999 5.31251 0.051391087499999995 749.1 3.7020999999999997 8.64874 0.037562197500000005 32440.6 3.61369 4.05747 0.0423210425
20 697.5 1359.27448 1339.3116599999998 1.2286525875000003 679.4 180.27877 5.3208 0.0411466525 718.9 178.50615 8.65494 0.0168370625 30741.4 179.46133 4.07919 0.03512631 672.0 1315.2908699999998 1330.377 1.2725922 720.4 4.51875 5.311030000000001 0.0508504975 768.2 3.7006300000000003 8.64588 0.0370671375 32464.800000000003 3.61177 4.05972 0.0419968575
