iteration LSE_100000_gamma_time LSE_100000_gamma_objective LSE_100000_gamma_hpwl LSE_100000_gamma_euclidean_norm LSE_1000_gamma_time LSE_1000_gamma_objective LSE_1000_gamma_hpwl LSE_1000_gamma_euclidean_norm LSE_10_gamma_time LSE_10_gamma_objective LSE_10_gamma_hpwl LSE_10_gamma_euclidean_norm WA_100000_gamma_time WA_100000_gamma_objective WA_100000_gamma_hpwl WA_100000_gamma_euclidean_norm WA_1000_gamma_time WA_1000_gamma_objective WA_1000_gamma_hpwl WA_1000_gamma_euclidean_norm WA_10_gamma_time WA_10_gamma_objective WA_10_gamma_hpwl WA_10_gamma_euclidean_norm
10 483.8 1563.93304 1549.02027 1.21361539 501.70000000000005 1558.31863 1558.30242 1.2654733175000001 494.1 1558.3505599999999 1558.3505599999999 1.272485255 497.8 1543.97785 1556.14815 1.270568 494.8 1558.3339700000001 1558.3431 1.2705408200000001 526.0 1558.35133 1558.35133 1.2725548225
11 499.4 1540.1683 1524.6499 1.209748355 521.9000000000001 1535.70065 1535.68085 1.2551435350000002 510.7 1535.7118 1535.7118 1.2623030524999999 517.2 1520.80127 1533.25135 1.2557111675000001 514.7 1535.6943 1535.7042099999999 1.26011151 546.9000000000001 1535.71204 1535.71204 1.2624714424999999
12 514.8 1517.37583 1501.27725 1.207297965 541.9 1513.65479 1513.6332 1.2560654224999999 527.5 1513.66188 1513.66188 1.2637767675 537.0 1498.2616699999999 1510.98321 1.2625210625 534.4 1513.64187 1513.65276 1.2617865625 567.7 1513.66197 1513.6619799999999 1.2640341025
13 530.8 1494.71985 1478.0551 1.202235405 562.0 1491.42885 1491.40525 1.2469222075 544.2 1491.4347200000002 1491.4347200000002 1.2552121175 556.4 1475.55487 1488.56713 1.2510282200000002 554.3 1491.41633 1491.4280899999999 1.252666045 588.2 1491.43553 1491.43553 1.2552785725
14 546.2 1472.00223 1454.7691 1.1899213625 581.8 1468.86517 1468.84049 1.2407003575 561.0999999999999 1468.87219 1468.87219 1.2493810925 576.2 1452.5529999999999 1465.85708 1.245228445 573.5 1468.84899 1468.86175 1.2471169924999999 608.0 1468.87222 1468.87223 1.2494846050000001
15 562.1 1449.0210000000002 1431.21395 1.185070435 600.9000000000001 1445.8364900000001 1445.80992 1.2351077175 577.7 1445.84314 1445.84314 1.2442608474999999 595.8 1429.09495 1442.70522 1.2372101025000002 592.8 1445.81916 1445.83285 1.2415305175 628.4 1445.8437199999998 1445.84373 1.2444012625
16 577.8 1425.76117 1407.37615 1.174567605 620.5 1422.3575 1422.3286899999998 1.2279678925000002 594.0 1422.36236 1422.36236 1.2383548974999998 615.6 1405.21468 1419.1332699999998 1.2333016075 611.9 1422.33618 1422.3509 1.2352896824999997 648.6 1422.36285 1422.36285 1.2384627525
17 593.4 1402.0772299999999 1383.10441 1.1685964 640.5 1398.30747 1398.27701 1.2220487825 610.4000000000001 1398.3152599999999 1398.3152599999999 1.2328750775 635.2 1380.77533 1395.01787 1.223464085 631.5999999999999 1398.28685 1398.30257 1.2297637925 668.6 1398.3153699999998 1398.31538 1.2330453225000002
18 609.2 1378.0138200000001 1358.4446 1.1583480975 660.2 1373.76261 1373.73026 1.2156150425 626.2 1373.77037 1373.77036 1.2270828624999999 654.8 1355.85414 1370.43012 1.22021272 650.5 1373.7397799999999 1373.75646 1.2241252274999999 689.2 1373.77096 1373.77096 1.2275100325000001
19 624.6 1353.4773599999999 1333.3029099999999 1.1520021124999997 680.4 1348.6473999999998 1348.61294 1.2091990875 642.4000000000001 1348.6540799999998 1348.65407 1.2220477449999998 674.4 1330.367 1345.29644 1.2113481000000001 670.0 1348.6245 1348.64214 1.2174237225000002 708.9 1348.65519 1348.65519 1.22209698
20 640.4 1328.54304 1307.751 1.1425522525 700.9 1323.04712 1323.0109400000001 1.2030191399999999 658.5 1323.05713 1323.05713 1.2162676375 693.8 1304.40698 1319.7018699999999 1.208224175 689.1 1323.0226200000002 1323.0411100000001 1.2126712225 729.6 1323.05754 1323.05754 1.21644067
21 656.0 1303.1445199999998 1281.72291 1.1360284849999998 721.0 1296.90804 1296.86987 1.1971040474999999 674.8 1296.91793 1296.91793 1.211310265 713.6 1277.9095 1293.58689 1.2007151249999999 708.6 1296.88488 1296.9041499999998 1.2071429375 750.0 1296.91877 1296.91877 1.21151081
22 671.8 1277.37421 1255.31054 1.1276188025000002 741.0 1270.33518 1270.29524 1.1927308075 691.4 1270.34797 1270.34797 1.20732989 732.8 1250.98529 1267.05572 1.1982176999999998 727.8 1270.31259 1270.33274 1.20366873 771.1 1270.34827 1270.34827 1.207760945
